"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"KS","Kansas","41-2012","Gaming change persons and booth cashiers",NA,"100","10.13","21070"
"NM","New Mexico","37-3012","Pesticide handlers, sprayers, and applicators, vegetation",NA,"100","10.21","21230"
"WI","Wisconsin","39-3019","Gaming service workers, all other",NA,"100","10.29","21400"
"VI","Virgin Islands","43-2011","Switchboard operators, including answering service",NA,"100","10.31","21450"
"WY","Wyoming","47-3016","Helpers--roofers",NA,"100","10.39","21600"
"OK","Oklahoma","51-9193","Cooling and freezing equipment operators and tenders",NA,"100","10.48","21790"
"VI","Virgin Islands","21-1093","Social and human service assistants",NA,"100","10.66","22170"
"WY","Wyoming","13-2082","Tax preparers",NA,"100","10.73","22320"
"KS","Kansas","51-4052","Pourers and casters, metal",NA,"100","10.78","22420"
"ID","Idaho","51-4035","Milling and planing machine setters, operators, and tenders, metal and plastic",NA,"100","11.02","22920"
"HI","Hawaii","39-2011","Animal trainers",NA,"100","11.07","23030"
"ND","North Dakota","45-4011","Forest and conservation workers",NA,"100","11.14","23160"
"MS","Mississippi","51-9131","Photographic process workers",NA,"100","11.21","23310"
"WV","West Virginia","51-9191","Cementing and gluing machine operators and tenders",NA,"100","11.30","23500"
"NH","New Hampshire","31-9095","Pharmacy aides",NA,"100","11.33","23580"
"NM","New Mexico","51-9131","Photographic process workers",NA,"100","11.34","23590"
"WY","Wyoming","27-3011","Radio and television announcers",NA,"100","11.34","23590"
"KY","Kentucky","33-3041","Parking enforcement workers",NA,"100","11.35","23610"
"WY","Wyoming","35-2019","Cooks, all other",NA,"100","11.36","23620"
"AR","Arkansas","29-2056","Veterinary technologists and technicians",NA,"100","11.43","23760"
"MS","Mississippi","39-6021","Tour guides and escorts",NA,"100","11.59","24120"
"VI","Virgin Islands","25-2011","Preschool teachers, except special education",NA,"100","11.60","24130"
"ID","Idaho","35-2019","Cooks, all other",NA,"100","11.62","24160"
"DC","District of Columbia","35-9099","Food preparation and serving related workers, all other",NA,"100","11.77","24480"
"TX","Texas","45-2099","Agricultural workers, all other",NA,"100","11.86","24670"
"DE","Delaware","51-9083","Ophthalmic laboratory technicians",NA,"100","11.91","24760"
"HI","Hawaii","51-9131","Photographic process workers",NA,"100","11.91","24770"
"ND","North Dakota","31-9093","Medical equipment preparers",NA,"100","11.91","24770"
"HI","Hawaii","21-2099","Religious workers, all other",NA,"100","12.00","24950"
"ND","North Dakota","43-9071","Office machine operators, except computer",NA,"100","12.08","25130"
"SD","South Dakota","31-9093","Medical equipment preparers",NA,"100","12.20","25370"
"AL","Alabama","49-9095","Manufactured building and mobile home installers",NA,"100","12.24","25460"
"ID","Idaho","31-9093","Medical equipment preparers",NA,"100","12.32","25630"
"DC","District of Columbia","51-6021","Pressers, textile, garment, and related materials",NA,"100","12.33","25650"
"KY","Kentucky","51-9194","Etchers and engravers",NA,"100","12.34","25670"
"SD","South Dakota","51-9192","Cleaning, washing, and metal pickling equipment operators and tenders",NA,"100","12.34","25670"
"WY","Wyoming","37-3012","Pesticide handlers, sprayers, and applicators, vegetation",NA,"100","12.36","25700"
"OH","Ohio","31-2012","Occupational therapist aides",NA,"100","12.37","25730"
"ND","North Dakota","49-3053","Outdoor power equipment and other small engine mechanics",NA,"100","12.40","25800"
"MN","Minnesota","43-3041","Gaming cage workers",NA,"100","12.44","25870"
"MD","Maryland","51-6092","Fabric and apparel patternmakers",NA,"100","12.50","26000"
"ME","Maine","51-7099","Woodworkers, all other",NA,"100","12.55","26100"
"MT","Montana","47-3016","Helpers--roofers",NA,"100","12.57","26140"
"KY","Kentucky","51-7099","Woodworkers, all other",NA,"100","12.63","26260"
"AK","Alaska","51-9193","Cooling and freezing equipment operators and tenders",NA,"100","12.67","26360"
"TX","Texas","47-5051","Rock splitters, quarry",NA,"100","12.72","26460"
"NV","Nevada","51-9022","Grinding and polishing workers, hand",NA,"100","12.74","26500"
"WY","Wyoming","43-9011","Computer operators",NA,"100","12.88","26800"
"UT","Utah","51-4194","Tool grinders, filers, and sharpeners",NA,"100","12.95","26940"
"NH","New Hampshire","43-9081","Proofreaders and copy markers",NA,"100","13.00","27040"
"UT","Utah","49-2096","Electronic equipment installers and repairers, motor vehicles",NA,"100","13.09","27230"
"VT","Vermont","51-7099","Woodworkers, all other",NA,"100","13.09","27220"
"SC","South Carolina","39-2011","Animal trainers",NA,"100","13.11","27280"
"WV","West Virginia","45-4023","Log graders and scalers",NA,"100","13.11","27270"
"GA","Georgia","49-9061","Camera and photographic equipment repairers",NA,"100","13.16","27370"
"CT","Connecticut","51-6064","Textile winding, twisting, and drawing out machine setters, operators, and tenders",NA,"100","13.26","27590"
"SD","South Dakota","51-2011","Aircraft structure, surfaces, rigging, and systems assemblers",NA,"100","13.26","27580"
"VT","Vermont","51-7021","Furniture finishers",NA,"100","13.28","27630"
"RI","Rhode Island","51-9123","Painting, coating, and decorating workers",NA,"100","13.31","27690"
"WV","West Virginia","51-4194","Tool grinders, filers, and sharpeners",NA,"100","13.42","27900"
"UT","Utah","49-2092","Electric motor, power tool, and related repairers",NA,"100","13.45","27980"
"MI","Michigan","39-3092","Costume attendants",NA,"100","13.46","28000"
"NE","Nebraska","53-7031","Dredge operators",NA,"100","13.46","28000"
"WY","Wyoming","49-3052","Motorcycle mechanics",NA,"100","13.48","28040"
"HI","Hawaii","51-7042","Woodworking machine setters, operators, and tenders, except sawing",NA,"100","13.51","28100"
"AZ","Arizona","51-9191","Cementing and gluing machine operators and tenders",NA,"100","13.56","28200"
"VT","Vermont","45-4022","Logging equipment operators",NA,"100","13.61","28300"
"GA","Georgia","51-6092","Fabric and apparel patternmakers",NA,"100","13.73","28550"
"RI","Rhode Island","51-6052","Tailors, dressmakers, and custom sewers",NA,"100","13.74","28580"
"TX","Texas","51-7031","Model makers, wood",NA,"100","13.75","28600"
"WI","Wisconsin","51-6064","Textile winding, twisting, and drawing out machine setters, operators, and tenders",NA,"100","13.84","28790"
"CO","Colorado","51-4071","Foundry mold and coremakers",NA,"100","13.88","28880"
"MT","Montana","43-4011","Brokerage clerks",NA,"100","13.89","28890"
"MN","Minnesota","33-3041","Parking enforcement workers",NA,"100","13.92","28950"
"SD","South Dakota","49-3052","Motorcycle mechanics",NA,"100","14.00","29110"
"IN","Indiana","39-2011","Animal trainers",NA,"100","14.03","29180"
"GA","Georgia","51-4192","Lay-out workers, metal and plastic",NA,"100","14.11","29340"
"WV","West Virginia","51-4191","Heat treating equipment setters, operators, and tenders, metal and plastic",NA,"100","14.11","29360"
"DE","Delaware","49-2096","Electronic equipment installers and repairers, motor vehicles",NA,"100","14.12","29370"
"IN","Indiana","27-4014","Sound engineering technicians",NA,"100","14.16","29460"
"MS","Mississippi","51-4193","Plating and coating machine setters, operators, and tenders, metal and plastic",NA,"100","14.16","29450"
"NE","Nebraska","51-4035","Milling and planing machine setters, operators, and tenders, metal and plastic",NA,"100","14.19","29520"
"AK","Alaska","43-5111","Weighers, measurers, checkers, and samplers, recordkeeping",NA,"100","14.26","29650"
"IN","Indiana","27-1012","Craft artists",NA,"100","14.29","29730"
"MS","Mississippi","51-4071","Foundry mold and coremakers",NA,"100","14.31","29770"
"NM","New Mexico","49-3052","Motorcycle mechanics",NA,"100","14.34","29820"
"GA","Georgia","27-1012","Craft artists",NA,"100","14.35","29850"
"NV","Nevada","53-7011","Conveyor operators and tenders",NA,"100","14.36","29870"
"MN","Minnesota","27-4031","Camera operators, television, video, and motion picture",NA,"100","14.39","29930"
"SD","South Dakota","39-1011","Gaming supervisors",NA,"100","14.43","30010"
"NH","New Hampshire","51-4194","Tool grinders, filers, and sharpeners",NA,"100","14.46","30070"
"ME","Maine","51-4194","Tool grinders, filers, and sharpeners",NA,"100","14.48","30130"
"DE","Delaware","51-6052","Tailors, dressmakers, and custom sewers",NA,"100","14.54","30240"
"MI","Michigan","47-4031","Fence erectors",NA,"100","14.59","30340"
"KY","Kentucky","51-9082","Medical appliance technicians",NA,"100","14.63","30420"
"UT","Utah","29-2054","Respiratory therapy technicians",NA,"100","14.67","30520"
"ND","North Dakota","49-3022","Automotive glass installers and repairers",NA,"100","14.68","30520"
"LA","Louisiana","45-4021","Fallers",NA,"100","14.76","30690"
"DE","Delaware","49-9095","Manufactured building and mobile home installers",NA,"100","14.83","30850"
"WY","Wyoming","49-3041","Farm equipment mechanics",NA,"100","14.86","30910"
"MS","Mississippi","47-2022","Stonemasons",NA,"100","14.91","31020"
"CT","Connecticut","39-2011","Animal trainers",NA,"100","14.95","31090"
"DE","Delaware","49-3053","Outdoor power equipment and other small engine mechanics",NA,"100","14.95","31100"
"NC","North Carolina","47-2082","Tapers",NA,"100","14.97","31130"
"ME","Maine","49-3052","Motorcycle mechanics",NA,"100","15.11","31420"
"WV","West Virginia","21-1099","Community and social service specialists, all other",NA,"100","15.11","31440"
"FL","Florida","51-4051","Metal-refining furnace operators and tenders",NA,"100","15.13","31470"
"VT","Vermont","21-1099","Community and social service specialists, all other",NA,"100","15.14","31490"
"AR","Arkansas","47-2171","Reinforcing iron and rebar workers",NA,"100","15.16","31530"
"TX","Texas","21-2099","Religious workers, all other",NA,"100","15.23","31690"
"VI","Virgin Islands","51-9071","Jewelers and precious stone and metal workers",NA,"100","15.28","31780"
"SD","South Dakota","31-9011","Massage therapists",NA,"100","15.32","31870"
"SC","South Carolina","51-9194","Etchers and engravers",NA,"100","15.38","32000"
"PA","Pennsylvania","39-3092","Costume attendants",NA,"100","15.41","32040"
"ME","Maine","37-2021","Pest control workers",NA,"100","15.44","32120"
"UT","Utah","39-4021","Funeral attendants",NA,"100","15.44","32110"
"KS","Kansas","25-4012","Curators",NA,"100","15.47","32170"
"NM","New Mexico","53-6041","Traffic technicians",NA,"100","15.47","32180"
"SC","South Carolina","25-4013","Museum technicians and conservators",NA,"100","15.54","32330"
"OK","Oklahoma","49-2093","Electrical and electronics installers and repairers, transportation equipment",NA,"100","15.61","32470"
"KS","Kansas","51-9194","Etchers and engravers",NA,"100","15.62","32480"
"PR","Puerto Rico","27-4031","Camera operators, television, video, and motion picture",NA,"100","15.67","32600"
"IN","Indiana","19-4093","Forest and conservation technicians",NA,"100","15.78","32820"
"NY","New York","47-2043","Floor sanders and finishers",NA,"100","15.79","32850"
"ME","Maine","19-4061","Social science research assistants",NA,"100","16.00","33270"
"ME","Maine","51-4032","Drilling and boring machine tool setters, operators, and tenders, metal and plastic",NA,"100","16.05","33380"
"ND","North Dakota","51-9051","Furnace, kiln, oven, drier, and kettle operators and tenders",NA,"100","16.07","33430"
"NV","Nevada","51-4022","Forging machine setters, operators, and tenders, metal and plastic",NA,"100","16.15","33600"
"NH","New Hampshire","49-3092","Recreational vehicle service technicians",NA,"100","16.15","33600"
"OH","Ohio","53-7031","Dredge operators",NA,"100","16.16","33610"
"OR","Oregon","51-9082","Medical appliance technicians",NA,"100","16.25","33790"
"DC","District of Columbia","41-9011","Demonstrators and product promoters",NA,"100","16.26","33830"
"NV","Nevada","51-6093","Upholsterers",NA,"100","16.30","33910"
"SD","South Dakota","27-1021","Commercial and industrial designers",NA,"100","16.30","33910"
"PR","Puerto Rico","23-1022","Arbitrators, mediators, and conciliators",NA,"100","16.32","33950"
"NY","New York","39-6022","Travel guides",NA,"100","16.49","34300"
"MI","Michigan","45-4023","Log graders and scalers",NA,"100","16.52","34350"
"DC","District of Columbia","27-4032","Film and video editors",NA,"100","16.54","34400"
"CO","Colorado","49-3051","Motorboat mechanics",NA,"100","16.55","34430"
"ME","Maine","29-1125","Recreational therapists",NA,"100","16.59","34500"
"WY","Wyoming","29-2055","Surgical technologists",NA,"100","16.62","34560"
